id,url,event_title,details,access_type,num_tickets_types,ticket_price,date,time,location,venue,organization,google,latitude,longitude,ticket_name,num_guests,event_category,day_of_week,start_time_hours,data_date,date_modified,source,weekday,weekday_num,parsed_tags,assigned_category,general_category,sub_category2,sub_category3
crl05y1p,https://lu.ma/crl05y1p,Climate Global Event #WebSummit,"​Connecting global climate innovationOn the eve of WebSummit, join us for a high-impact, one-day event connecting startups, investors, and industry leaders in climate technology. Vancouver is emerging as a global hub where innovative minds converge—from Canada to Japan, Singapore, Europe, and Australia—to forge new pathways in clean tech and international trade.",Get Tickets,2.0,12.5,2025-05-26,"Monday, May 26,1:00 PM - 7:30 PM PDT","800 Robson St, Vancouver, BC V6E 1A7, Canada",Robson Square,Vancouver Impact,https://www.google.com/maps/search/?api=1&query=Robson%20Square&query_place_id=ChIJwd1aPIBxhlQRX8pxjPkAb5s,49.28193,-123.121918,"['Standard', 'Student']",245,Climate,Monday,13.0,2025-05-02,2025-06-01 00:23:01.088041,Lu.ma,Monday,0.0,['Climate'],Climate,Environment and Sustainability,Climate,
23751vzy,https://lu.ma/23751vzy,Web Summit Vancouver: Z-Space Coffee Culture Connect,"​Start your day right at Z-Space Coffee Culture Connect, an informal morning gathering running alongside Web Summit Vancouver. ​Join fellow Web Summit attendees, local founders, technologists, investors, and creative minds for coffee, conversation, and spontaneous collaboration in a welcoming community space. ​Expect fresh espresso drinks, local pastries, fast wifi, and the buzz of creative energy. Z-Space is just a 10-minute walk from the Web Summit venue, at the edge of historic Gastown. ​Whether you're new to Vancouver or looking to make meaningful connections before the conference kicks off each day, this is your open door to the city’s tech and creative ecosystem. ​The Z-Space Arts & Technology Society is a creative culture hub supporting art, tech, music, science, food, and community. Celebrating its 10th year in operation—and it's 1st year as a non-profit society—Z-Space provides affordable, sustainable, and community-oriented space for startups, artists, and builders. ​Supported by MindPort ​This event is proudly supported by MindPort, a strategy, research, and innovation partner built for the age of AI.",Get Tickets,2.0,5.0,2025-05-27,"Tuesday, May 27,8:00 AM - 11:00 AM PDT","505 Hamilton St Unit 301 - 302 - 303, Vancouver, BC V6B 2R1, Canada",Z-Space,Z-Space Vancouver,https://www.google.com/maps/search/?api=1&query=Z-Space&query_place_id=ChIJh4eOLopxhlQREMTFwhFJGMk,49.282003,-123.111508,"['Connect', 'Support Z-Space by Donation']",115,AI,Tuesday,8.0,2025-05-02,2025-06-01 00:23:01.088041,Lu.ma,Tuesday,1.0,['AI'],"AI, Data Science, and ML",Technology and Innovation,"AI, Data Science, and ML",
xed8camo,https://lu.ma/xed8camo,Founders Matcha Walk with Casey Lau + Special Guests,"​Welcome to Vancouver  founders from around the world - if this is your first visit to Vancouver this is the event for you! 🇮🇪🇨🇳🇵🇹🇯🇵🇩🇪🇬🇧 ​Web Summit Vancouver co-host Casey Lau (+special guests) wants to meet you and tour you around the incredible marina of downtown Vancouver while sipping a matcha or coffee or morning beverage of your choice starting at one of Vancouver's finest cafes.Limited space, but a great way to get ready for the inaugural Web Summit Vancouver and meet some international founders and investors in town.",Registration,1.0,0.0,2025-05-27,"Tuesday, May 27,8:00 AM - 10:00 AM PDT",,,Web Summit Vancouver Side-Events,,49.273625,-123.118398,['Standard'],1,,Tuesday,8.0,2025-05-02,,Lu.ma,Tuesday,1.0,[],Entrepreneurship,Business and Professional,Entrepreneurship,
VAN-Demo-Day,https://lu.ma/VAN-Demo-Day,Vancouver Demo Day + WebSummit Social,"​Join TechTO, Panache Ventures, and N49P for Vancouver Demo Day + WebSummit Social  ​Demo Day spotlights standout Canadian tech companies—at any stage—that are showing exceptional momentum. Nominated by leading VCs and the local startup community, these companies might be scaling fast, solving meaningful problems, or gaining rapid traction. Demo Day is their platform to share their story and amplify the excitement. No judges. No scoring cards. Just real stories, real progress, and real asks—shared with the people who can help and a true celebration of Canadian traction. ​Vancouver Demo Day will showcase startups from the following VC firms: ​N49PPanache VenturesVersion OneInoviaFramework Rhino VenturesRelay VenturesLOI VentureActive Impact InvestmentsPender Ventures ​Discover standout ventures from the West Coast, meet fellow founders and investors. Whether you're building, investing, or just curious, this is your chance to tap into the energy of Vancouver's tech ecosystem. ​Top companies from each local event will be shortlisted for TechTO’s Rocketships List—the annual roundup of high-velocity startups that top talent (and investors ) should be watching closely. ​Following Demo Day, our curated evening social will gather 300+ of Canada’s most ambitious tech builders. It is designed to spark real conversations, foster meaningful connections, and celebrate the spirit of innovation. Mingle with founders, investors, and industry leaders in a relaxed setting - where big ideas meet new opportunities. ​​​4:00–4:30PM PDT|  Doors Open & Registration​​4:30–6:00PM PDT|  Demo Day - Startups Pitches​​6:00–9:00PM PDT | Evening Social ​​Thank You To Our Presenting Partners: ​​If you would like to know more about our presenting sponsors, please visit:LaBarge Weinstein LLPDoiT ​​Thank You To Our Supporting Partners: ​​If you would like to know more about our supporting sponsor, please visit: ​Boast",Registration,1.0,0.0,2025-05-27,"Tuesday, May 27,4:00 PM - 9:00 PM PDT","965 Granville St, Vancouver, BC V6Z 1L3, Canada",Good Co. Granville,TechTO,https://www.google.com/maps/search/?api=1&query=Good%20Co.%20Granville&query_place_id=ChIJO4AhIBNzhlQR1sdNx__mJ3k,49.279712,-123.122729,['Standard'],510,,Tuesday,16.0,2025-05-02,2025-06-01 00:23:01.088041,Lu.ma,Tuesday,1.0,[],Entrepreneurship,Business and Professional,Entrepreneurship,
0e5ine0h,https://lu.ma/0e5ine0h,"[Web Summit] Enterprise AI Panel with Cloudflare, Twelve Labs, Cohere, AWS and HubSpot Ventures","​Join us during the Web Summit in Vancouver for a deep dive into how enterprises are adopting AI, the challenges of selling AI solutions, and how buyers are evaluating an explosion of AI startups in the market. ​This panel, sponsored by: ​AWS: AWS provides a highly reliable, scalable, low-cost infrastructure platform in the cloud that powers hundreds of thousands of businesses in 190 countries around the world. (Contact: andrytan@amazon.com)  ​Humi: Humi is Canada's leading all-in-one HR, payroll, SRED and benefits platform, built to help businesses manage their people with ease. (Contact: sarah.lesperance@humi.ca)   ​HubSpot: HubSpot Ventures is Hubspot's venture fund, investing in seed-series B startups building intelligent applications, AI & data infrastructure, and FinTech. HubSpot is a leading CRM platform that provides software and support to help businesses grow better. (Contact: acoccari@hubspot.com) ​Enterprise AI panel featuring:  ​Michelle (Co-Founder, President + Co-Chair at Cloudflare) ​Soyoung (Co-Founder and Head of GTM at Twelve Labs) ​Ivan (CTO, Co-Founder at Cohere) ​Patricia (Head of Startups, Canada at AWS Startups) ​Adam (Managing Director at HubSpot Ventures) ​Moderated by Matt Cohen (Managing Partner at Ripple Ventures) ​Topics we'll explore: ​The current state of enterprise AI: tech stack readiness & adoption ​The biggest problems AI is solving for enterprises today ​How founders are navigating enterprise sales in an evolving AI landscape ​How corporates are evaluating AI startups in a crowded market ​[Only accepted guests may attend and must bring a government-issued ID to enter the venue. No exceptions.]",Registration,1.0,0.0,2025-05-27,"Tuesday, May 27,4:30 PM - 6:30 PM PDT",,,Ripple Ventures,,49.280812,-123.1141,['Standard'],296,AI,Tuesday,16.5,2025-05-02,2025-06-01 00:23:01.088041,Lu.ma,Tuesday,1.0,['AI'],"AI, Data Science, and ML",Technology and Innovation,"AI, Data Science, and ML",
m1xecu31,https://lu.ma/m1xecu31,[Web Summit Week] Healthtech Social by Scalpels & Spreadsheets,"​Extend the Web Summit energy at this post-conference Healthtech & Life Sciences social. We know the best conversations happen in the after-party events anyways! 😉 ​Healthcare and life science professionals! Join us for this networking event with likeminded individuals. Whether you're building, investing or shaping the industry - you'll find your crowd here!Expect to be surrounded by entrepreneurs, investors and others from healthtech, medtech, pharma/biotech, health IT & public health backgrounds.No agenda, networking only! Drinks will be available for purchase. Contact us for partnership enquiries! ​Meet your hosts: Aman Desai, Vijesh VijayanAbout Scalpels & Spreadsheet: ​At Scalpels & Spreadsheets, we're creating a global healthcare community where thought leaders, innovators, and curious minds come together to drive the next wave of healthcare innovation, through podcasting, events and media.Find us on LinkedIn and Instagram for future event updates!",Registration,1.0,0.0,2025-05-28,"Wednesday, May 28,3:00 PM - 6:00 PM PDT",,,Scalpels & Spreadsheets,,49.286227,-123.116945,['Regular'],79,Wellness,Wednesday,15.0,2025-05-02,2025-06-01 00:23:01.088041,Lu.ma,Wednesday,2.0,['Wellness'],STEM,Education and Learning,STEM,
94ks27ot,https://lu.ma/94ks27ot,UAtech Venture Night @ Web Summit Vancouver – The Ultimate Startup & Investor Experience!,"​Get ready for the most powerful pitch night in Vancouver—where world-class investors, high-potential startups, and legendary tech leaders collide for one unforgettable evening. ​UAtech Venture Night @ Web Summit Vancouver is not just another event. It’s where startups raise capital, investors meet game-changers, and future-shaping conversations happen over handcrafted cocktails. ​What’s in Store ​1️⃣ Investor Round Table Pitching (5PM)Selected founders pitch directly to VCs and angels in rapid round table sessions designed to get real deals done. ​2️⃣🎤 Power Panel: The AI Power Shift (7PM) Hear the honest truths from top minds in AI, venture, and startup growth. Learn what’s changing, what’s coming, and what it means for you.Confirmed Speakers: ​Max Lytvyn – Co-Founder of GrammarlyAI pioneer transforming communication for millions globally. ​Nick Bilogorskiy – Managing Partner, Dnipro VC | ex-META, GoogleCybersecurity leader, founder of Nova Ukraine, and recipient of the Ukrainian Order of Merit. ​Vitalii Romanchenko – Head of AI Product Strategy, Panopto | ex-CEO of Elai.ioVisionary behind human-like AI video avatars, speaker at South Summit, K1, and more. ​Melaniia Volkodav – Associate, Panache VenturesLeading early-stage VC investing in deep tech, compute, and climate-focused founders. ​Moderated by Olia Stasiuk, Founder & CEO of Bonzai AI ​3️⃣ Afterparty (7PM)Cap off the night with our high-energy mixer: guest DJ, cocktails by Bootleggers, and a curated guest list full of opportunity. Deals get done over drinks—let’s make it happen. ​ Venue & Partners ​📍Vesper Lounge, 905 Dunsmuir St – a stylish, intimate setting in the heart of downtown Vancouver, perfect for authentic connection and curated experiences. ​🥂 In Partnership With ​UA-tech.org– Nonprofit empowering Ukrainian tech talent across North America founded by Volodymyr Demianenko, serial entrepreneur & founder of SOLU.la (AI-powered client communication automation). ​Bonzai AI – one of the most disruptive AI startups in learning tech. ​UAtech.today – TA top tech & innovation media platform bringing visibility to the brightest minds in the ecosystem. ​Bootleggers Cocktail Co. – Serving up handcrafted drinks all night long ​🎟 Ticket Options ​Investor | 5PM | Free w/ Approval ​Startup Pitcher | 5PM | Free w/ Approval ​Panel & Afterparty Only | 7PM | $15.00 (includes drink + access to party) ​⚡ This isn’t just an event—it’s a movement. Get ready to connect, pitch, invest, and celebrate at the most game-changing venture night of Web Summit Vancouver! ​Spots are limited—secure yours now!",Get Tickets,5.0,3.0,2025-05-28,"Wednesday, May 28,5:00 PM - 11:00 PM PDT","905 Dunsmuir St, Vancouver, BC V6C 1A8, Canada",Vesper Lounge,Uatech.events,https://www.google.com/maps/search/?api=1&query=Vesper%20Lounge&query_place_id=ChIJv2kiHoJxhlQRTM0OZVTiNBc,49.285138,-123.118495,"['Apply to Pitch  (5pm)', 'Investor (5pm)', 'Nonprofit organization (5pm)', 'Ukrainian Startups (5pm)', 'For Party + Drink! (7pm)']",324,AI,Wednesday,17.0,2025-05-02,2025-06-01 00:23:01.088041,Lu.ma,Wednesday,2.0,['AI'],"AI, Data Science, and ML",Technology and Innovation,"AI, Data Science, and ML",
websummit-vancouver,https://lu.ma/websummit-vancouver,Vancouver AI: May 28 #WebSummit,"​Technology isn't neutral and neither are we. Vancouver AI is assembling the brain trust of BC's AI ecosystem—researchers with revolutionary vision, artists with computational minds, and builders who question what they're building. ​Our keynotes aren't corporate retreads—they're field reports from the edge, raw transmissions from explorers who've gone beyond the algorithm and returned with something worth sharing. ​This isn't about what AI can do—it's about what we can become when we stop treating technology as something that happens to us and start wielding it like the strange, beautiful tool it is. ​We're the intersection where diverse disciplines, backgrounds, and interests converge to explore our shared humanity in the age of AI. All welcome, no gatekeeping. Bring your projects, your questions, your wild ideas—this is where the future gets built together. ​The machines are learning. Are we? Join the conversation that matters. ​​Want to speak? Have an insight that isn't ""AI will change everything""? ​​Built something weird? Demo spots open. ​​Join the community: Get in the Vancouver AI CORE Group where the real conversations happen ​Vancouver AI CORE just booted up. 12-month passport to every gathering. Backdoor access to our Members Group Chat & Knowledge Base for raw, unfiltered dialogues. Something built by the community, for the community. ​This isn't subscription content—it's community infrastructure. The digital campfire where tomorrow's questions get asked today. ​Initialize: https://core.bc-ai.net/ ​​H.R. MacMillan Space Centre, 1100 Chestnut St. The place with the UFO-looking roof that makes you feel like you're discussing AI in the appropriate sci-fi setting. Fully accessible. Parking available for your carbon-producing vehicles. Transit nearby.​ ​​Dimitri Schwartzman: Real estate guy who funds community stuff instead of just buying yachts ​​SEGEV LLP: Lawyers who can talk about tech without reading from Wikipedia ​​METACREATION Lab: Researchers who understand AI should make art, not just surveillance tech ​​TheUpgrade.ai: AI education & adoption for businesses and teams. ​​HR MacMillan Space Centre: Letting us use their cosmic dome ​​Creative Mornings Vancouver: Morning people who somehow still have good ideas ​​MOVE37XR: Extending reality while the rest of us still struggle with this one ​​CMPFYR: The folks at cmpfyr.co doing... actually we're not entirely sure but it's cool ​Vancouver AI is a neural network of curious humans mapping the terrain between technology and consciousness.  ​Since 2023, we've been building a different kind of tech community: one that questions as much as it creates, that bridges art galleries and research labs, corporate towers and garage workshops. ​We run monthly gatherings where you'll find the unexpected: AI researchers jamming with musicians, developers debating ethics with philosophers, and entrepreneurs finding inspiration in indigenous wisdom. Together we're co-creating understanding. ​No outsiders calling the shots, no Silicon Valley hypercapitalist agenda—just a self-organizing system of people who give a damn about where this technological revolution is taking us and who gets to steer. ​Vancouver AI was just the start. BC's AI Ecosystem continues to grow, with new community hubs emerging in Surrey, Victoria, Kelowna, and beyond—each contributing unique perspectives to a thriving, interconnected network. ​BC + AI represents a collective, province-wide effort to democratize AI knowledge, innovation, and opportunity. If you're in Surrey (or nearby!), come join the movement and connect with fellow AI explorers. ​​Limited to 200 human bodies ​​Will sell out, just like every other VAI event ​​Bring stickers to trade. Yes, we're serious. Analog connection in a digital world. ​​Photography & video will happen. Your mug might end up online. If you're in witness protection, wear a fake mustache. ​​The machines are watching. Let's give them something worth the bandwidth. ​​🖤❤️✊🔥🏴",Get Tickets,2.0,50.0,2025-05-28,"Wednesday, May 28,6:00 PM - 10:00 PM PDT","1100 Chestnut St, Vancouver, BC V6J 3J9, Canada",H.R. MacMillan Space Centre,Vancouver AI,https://www.google.com/maps/search/?api=1&query=H.R.%20MacMillan%20Space%20Centre&query_place_id=ChIJX-DfNzNyhlQR76LZl5hs5bc,49.276224,-123.144443,"['Earlyworm', 'Standard']",184,AI,Wednesday,18.0,2025-05-02,2025-06-01 00:23:01.088041,Lu.ma,Wednesday,2.0,['AI'],"AI, Data Science, and ML",Technology and Innovation,"AI, Data Science, and ML",
i5a2n7v1,https://lu.ma/i5a2n7v1,The HardTech Awards at Web Summit,"​Previously known as The Misties Awards, the HardTech Awards are recognizing the engineers, designers, and visionaries driving real-world impact through commercialized hardware innovation. ​MistyWest and Memfault are thrilled to announce the Top 20 winners of 2025 at this in-person awards ceremony during Web Summit Vancouver. ​The HardTech Awards are on a mission to become the largest recognition platform in intelligent and connected hardware development. For this event, there's no stiff suits, and no endless speeches—expect some hands-on demos, interactive art, and a definitive gathering of technical excellence from across North America. ​We look forward to being your ""home for hardware"" at Web Summit. ​ ​Additional details to come over the following weeks. ​6pm - Opening Reception6:30pm - Announcing the 2025 HardTech Awards winners7:30pm - Cocktails & Connections ​Hors d'oeuvres will be served throughout the evening  🍤🍖🥟 ​ ​Over 30 experts from backgrounds in engineering, product development, and venture capital volunteered their time to help vote on this year's semi-finalists and winners. We extend our massive thanks to the judges for lending their expertise to recognize innovation where it truly matters. ​MistyWest thanks our annual sponsors Memfault, Intent, Edge Impulse and Nordic Semiconductor, and our HardTech Awards sponsors August Electronics, Galvanize Leadership Development, and G3 Global Partners, for their gracious contributions that enable us to host events that bring our community together.  ​ ​ ​MistyWest is a product development firm accelerating the world's transition to a more sustainable future. We help our clients develop market-ready solutions for mining, infrastructure, and clean tech in half the time compared to ramping up an equivalent internal team. ​ ​MistyWest acknowledges that this event takes place on the unceded traditional territories of the xʷməθkʷəy̓əm (Musqueam), Sḵwx̱wú7mesh (Squamish), and səlilwətaɬ (Tsleil-Waututh) Nations.",Registration,1.0,0.0,2025-05-29,"Thursday, May 29,6:00 PM - 11:00 PM PDT",,,HardTech Forum x MistyWest,,49.28488,-123.110943,['Standard'],247,,Thursday,18.0,2025-05-02,2025-06-01 00:23:01.088041,Lu.ma,Thursday,3.0,[],Social Media and Influencing,Fun and Leisure,Digital Entertainment,Social Media and Influencing
4ggxd3x6,https://lu.ma/4ggxd3x6,Special Canada Tech Week Jump off AI Founders and Funders Power Walk (Free Walk),"​Special Canada Tech Week Power Walk for Startup Founders, Funders, Developers, and Anyone Involved in a Startup or Just Looking to Make New Friends! ​staaake Power Walk: Meet People Without Wasting Time ​A power walk is a themed social walk where you meet people while getting your steps in—no awkward small talk, just a refreshing break from work and screens. ​Why a Power Walk is Better Than a Traditional Meetup ​👥 Meetups – Slow, awkward, and often a hit or miss. You might leave thinking, Was that really worth my time?🚶 Power Walks – No wasted time. You get fresh air, 6,000 steps, and meaningful conversations—all in just one hour! Even if the group isn’t great, you still got your walk in. ​Bonus: Join Our Private WhatsApp Group ​📲 People who join our walk will be in our exclusive Canada Tech Week 2025 WhatsApp group! ​Free WhatsApp Channel here: https://whatsapp.com/channel/0029Vb9wzfC6BIEg7UVtRq1Y ​staaake Canada Tech Week 2025 Excel List ​Stand out from thousands of attendees by being on the Excel list. This will set you apart and make you more visible. ​📄 Join the list: https://docs.google.com/spreadsheets/d/1MHZ0RzVAos79trlpMnuFkSeL-K-HkAC1YFzVvYvV-6A/edit?usp=sharing ​Have your name, link (LinkedIn or company), and what you're looking for—funding, investing, or networking—added to the list. This list will be linked to the opening and closing power walks on Lu.ma, Eventbrite, and will also be emailed to everyone who signed up for those events! ​📢 This event is independently organized and is not affiliated with, endorsed by, or associated with Web Summit. ​Stand Out & Get Exposure! ​🚀 Be part of the staaake List, featured on all our events worldwide. Get noticed, make connections, and put yourself on the map! ​👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇 ​🌍 Join the list: https://www.staaake.in/?staaake ​👆👆👆👆👆👆👆👆👆👆👆👆👆👆👆👆👆👆 ​Arrive Early! ​⏰ We leave on time and won’t be able to text latecomers. Please respect other people’s time, too! ​Event Details ​📍 Meet at: In front of Giovane Caffè, 1049 W Cordova St, Vancouver, BC V6C 0B9, Canada🚶 Lead Power Walker:  ​Sponsors: ​nextflag ​https://nextflag.app ​VideoRelations ​videorelations.com  ​staaake ​https://lu.ma/staaake ​Instagram: @staaake",Get Tickets,3.0,170.0,2025-05-27,"Tuesday, May 27,12:00 PM - 1:00 PM PDT",,,staaake,,49.288049,-123.117133,"['Standard', 'Excel List', 'Be a Sponsor']",380,AI,Tuesday,12.0,2025-05-12,2025-06-01 00:23:01.088041,Lu.ma,Tuesday,1.0,['AI'],"AI, Data Science, and ML",Technology and Innovation,"AI, Data Science, and ML",
